,Timings,Thread Count,Grid Size
0,"[0.000571, 0.000589, 0.000561, 0.000571, 0.000615, 0.00056, 0.00056, 0.000563, 0.000698, 0.000564]",1,32
1,"[0.002315, 0.002677, 0.002607, 0.002283, 0.002848, 0.002259, 0.002358, 0.002401, 0.002307, 0.002517]",1,64
2,"[0.009414, 0.009557, 0.009527, 0.009754, 0.009196, 0.009424, 0.010061, 0.010503, 0.01096, 0.010305]",1,128
3,"[0.04664, 0.045759, 0.039809, 0.039029, 0.036587, 0.038155, 0.036823, 0.037066, 0.036815, 0.038965]",1,256
4,"[0.1538, 0.151188, 0.160129, 0.166313, 0.183591, 0.199967, 0.212352, 0.216016, 0.225925, 0.232315]",1,512
5,"[0.969991, 0.967858, 0.956664, 0.932816, 0.915065, 0.903938, 0.911983, 0.900143, 0.886879, 0.871515]",1,1024
6,"[3.598668, 3.484618, 3.767605, 3.519326, 3.742985, 3.848854, 3.462277, 3.462916, 3.491055, 3.487387]",1,2048
7,"[14.947711, 16.154038, 14.386339, 13.887756, 13.863304, 13.839984, 13.866186, 13.827397, 14.1162, 13.824572]",1,4096
